brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age,Unnamed: 0,,,,
"Medial amygdalar nucleus, posterodorsal part, sublayer b",863.3244552667534,152.84462943060174,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, posterodorsal part, sublayer c",788.9898163767916,190.18048123841675,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medial amygdalar nucleus, posteroventral part",2452.8216368533404,249.3783968575079,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Pallidum,42.85081604824754,6.842944817679454,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Pallidum, dorsal region",5.204552503193602,1.541293764414689,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Globus pallidus, external segment",5.564474637305018,1.8270582025421884,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Globus pallidus, internal segment",3.18381725116999,2.8377169032096865,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Pallidum, ventral region",41.43789421122088,8.56723765871192,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Substantia innominata,41.915990469830234,9.666100306021228,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Magnocellular nucleus,37.18938992895521,9.947841696789684,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Pallidum, medial region",38.32697112547895,9.948753692505242,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Medial septal complex,43.47135611375053,11.23043876847011,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Medial septal nucleus,17.66831644895371,8.393200878081652,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Diagonal band nucleus,61.17991449240905,17.338837952725562,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Triangular nucleus of septum,9.609915366306605,6.673847018532802,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Pallidum, caudal region",99.67026910945529,18.587411980898093,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Bed nuclei of the stria terminalis,93.6856045077698,16.11049317019578,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division",127.66878321341291,23.354113493299234,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",108.31445857429969,20.67377231543432,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",154.78894925687428,40.28200744394151,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",44.72146790245847,41.69301033330318,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",199.76236035433965,133.41012225247573,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",143.85703663098985,137.52219308049328,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",60.34039921201939,69.96908693991426,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",197.326538060398,103.32946676044781,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",215.60447430989655,64.55287440838698,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",53.07608174268876,36.187262992691224,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division",53.58681861730605,17.34841610001599,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",0.0,0.0,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",69.27685733891809,23.919858317805748,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",37.39728804878114,13.416240181373862,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",12.641708393644866,21.24416213511192,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Bed nuclei of the stria terminalis, posterior division, strial extension",69.49082034324883,79.12053684116233,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Bed nucleus of the anterior commissure,711.1959885656822,381.7064833387851,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cerebellum,101.48939052110629,43.77222248819181,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Cerebellar cortex,102.72077155533376,39.26099476998432,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Vermal regions,151.3882855425521,53.96539199186468,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lingula (I),127.14399703957513,137.8771486059122,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lingula (I), molecular layer",54.4248681687466,47.63328516374179,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lingula (I), granular layer",220.18743532810444,261.9566147978602,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Central lobule,157.51914796108662,46.62613236219201,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lobule II,130.30422450776166,61.991101173310966,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobule II, molecular layer",61.98762550981786,43.44886322469986,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobule II, granular layer",204.41593086448302,86.75010704567174,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lobule III,172.4170278345261,49.07145242255842,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobule III, molecular layer",130.12265908112974,59.4915416045086,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobule III, Purkinje layer",211.5266739674957,79.25859174017674,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Culmen,158.65844926599846,56.090700338580206,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Lobules IV-V,158.65844926599846,56.090700338580206,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobules IV-V, molecular layer",135.03069238974544,39.76415414399571,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Lobules IV-V, granular layer",185.77189435166085,81.85774539599134,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Declive (VI),209.8807072830099,99.8506379862078,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Declive (VI), molecular layer",197.36171073366177,72.03076366067336,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Declive (VI), granular layer",222.66930965455384,157.15081359949025,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Folium-tuber vermis (VII),24.135311315942538,24.37429704285432,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Folium-tuber vermis (VII), molecular layer",15.61316307189186,16.813750798842968,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Folium-tuber vermis (VII), granular layer",32.07856287819525,44.097357547801955,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Pyramus (VIII),89.48898748838504,64.28345293267977,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
